arch,dtype,K,V,BT,H,Hg,T_flat,N,head_seqlen,mid_seqlen,tail_seqlen,use_g,use_gk,use_h0,store_fs,save_vn,is_varlen,wu_contig,BV,duration
gfx950,torch.bfloat16,128,128,64,32,16,32760,7,5000,5000,2760,True,False,True,True,True,True,True,64,432.2843
gfx950,torch.bfloat16,128,128,64,32,16,32754,8,2240,5000,514,True,False,True,True,True,True,True,64,433.2299
gfx950,torch.bfloat16,128,128,64,32,16,32747,7,4486,5000,3261,True,False,True,True,True,True,True,64,430.5499
gfx950,torch.bfloat16,128,128,64,32,16,21739,5,1739,5000,5000,True,False,True,True,True,True,True,64,330.2342
gfx950,torch.bfloat16,128,128,64,32,16,32754,7,5000,5000,2754,True,False,True,True,True,True,True,64,432.6003
gfx950,torch.bfloat16,128,128,64,32,16,32748,8,2246,5000,502,True,False,True,True,True,True,True,64,432.1835
gfx950,torch.bfloat16,128,128,64,32,16,24498,5,4498,5000,5000,True,False,True,True,True,True,True,64,397.2879
gfx950,torch.bfloat16,128,128,64,32,16,22241,5,2241,5000,5000,True,False,True,True,True,True,True,64,341.4888
gfx950,torch.bfloat16,128,128,64,32,16,32748,7,5000,5000,2748,True,False,True,True,True,True,True,64,431.1227
gfx950,torch.bfloat16,128,128,64,32,16,27252,6,2252,5000,5000,True,False,True,True,True,True,True,64,416.2537
gfx950,torch.bfloat16,128,128,64,32,16,32758,7,5000,5000,2758,True,False,True,True,True,True,True,64,433.2707
gfx950,torch.bfloat16,128,128,64,32,16,32752,8,2242,5000,510,True,False,True,True,True,True,True,64,433.0588
gfx950,torch.bfloat16,128,128,64,32,16,32745,7,4490,5000,3255,True,False,True,True,True,True,True,64,431.4499
gfx950,torch.bfloat16,128,128,64,32,16,11745,3,1745,5000,5000,True,False,True,True,True,True,True,32,260.2318
gfx950,torch.bfloat16,128,128,64,32,16,32757,7,5000,5000,2757,True,False,True,True,True,True,True,64,431.9508
gfx950,torch.bfloat16,128,128,64,32,16,32751,8,2243,5000,508,True,False,True,True,True,True,True,64,435.1676
gfx950,torch.bfloat16,128,128,64,32,16,32744,7,4492,5000,3252,True,False,True,True,True,True,True,64,430.4107
gfx950,torch.bfloat16,128,128,64,32,16,6748,2,1748,0,5000,True,False,True,True,True,True,True,32,209.2456
gfx950,torch.bfloat16,128,128,64,32,16,32751,7,5000,5000,2751,True,False,True,True,True,True,True,64,432.1243
gfx950,torch.bfloat16,128,128,64,32,16,32745,8,2249,5000,496,True,False,True,True,True,True,True,64,432.7563
gfx950,torch.bfloat16,128,128,64,32,16,9504,2,4504,0,5000,True,False,True,True,True,True,True,32,227.7290
gfx950,torch.bfloat16,128,128,64,32,16,32755,8,2239,5000,516,True,False,True,True,True,True,True,64,434.1804
gfx950,torch.bfloat16,128,128,64,32,16,32748,7,4484,5000,3264,True,False,True,True,True,True,True,64,430.9475
gfx950,torch.bfloat16,128,128,64,32,16,32742,8,1736,5000,1006,True,False,True,True,True,True,True,64,434.1059
gfx950,torch.bfloat16,128,128,64,32,16,32735,7,3994,5000,3741,True,False,True,True,True,True,True,64,429.8074
gfx950,torch.bfloat16,128,128,64,32,16,32729,8,1259,5000,1470,True,False,True,True,True,True,True,64,432.1659
gfx950,torch.bfloat16,128,128,64,32,16,32722,7,3530,5000,4192,True,False,True,True,True,True,True,64,430.4043
gfx950,torch.bfloat16,128,128,64,32,16,32716,8,808,5000,1908,True,False,True,True,True,True,True,64,431.2722
gfx950,torch.bfloat16,128,128,64,32,16,23092,5,3092,5000,5000,True,False,True,True,True,True,True,64,362.0746
gfx950,torch.bfloat16,128,128,64,32,16,32765,7,5000,5000,2765,True,False,True,True,True,True,True,64,432.6379
gfx950,torch.bfloat16,128,128,64,32,16,32759,8,2235,5000,524,True,False,True,True,True,True,True,64,435.4346
gfx950,torch.bfloat16,128,128,64,32,16,32752,7,4476,5000,3276,True,False,True,True,True,True,True,64,432.8979
gfx950,torch.bfloat16,128,128,64,32,16,32746,8,1724,5000,1022,True,False,True,True,True,True,True,64,432.2443
gfx950,torch.bfloat16,128,128,64,32,16,32739,7,3978,5000,3761,True,False,True,True,True,True,True,64,429.7779
gfx950,torch.bfloat16,128,128,64,32,16,32733,8,1239,5000,1494,True,False,True,True,True,True,True,64,432.6875
gfx950,torch.bfloat16,128,128,64,32,16,32726,7,3506,5000,4220,True,False,True,True,True,True,True,64,428.9547
